epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
97,55375.6,2.27866,2.98866,0.01045,0.42356,0.16748,0.1498,0.08955,2.35471,3.11445,0.01165,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239
98,56166.6,2.28411,2.99522,0.01043,0.41849,0.16773,0.14985,0.08963,2.3534,3.11378,0.01165,0.00854717,0.00284906,0.00854717,0.00284906,0.00854717,0.00284906,0.00854717,0.00284906
99,56673.3,2.2816,2.99838,0.01046,0.42189,0.16768,0.14989,0.08958,2.35315,3.11349,0.01164,0.00827005,0.00275668,0.00827005,0.00275668,0.00827005,0.00275668,0.00827005,0.00275668
100,57189.6,2.27475,2.98967,0.01043,0.42141,0.16791,0.15016,0.0897,2.35271,3.11373,0.01163,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532
101,57692.4,2.2729,2.97712,0.01042,0.42052,0.16824,0.15025,0.08982,2.35222,3.1139,0.01163,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
102,58237,2.27976,2.98446,0.01041,0.42432,0.16813,0.15058,0.08998,2.35171,3.11387,0.01163,0.0074573,0.00248577,0.0074573,0.00248577,0.0074573,0.00248577,0.0074573,0.00248577
103,58756.7,2.27459,2.97484,0.01034,0.4251,0.16812,0.15063,0.09007,2.3522,3.1124,0.01163,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766
104,59258.7,2.27459,2.97286,0.01035,0.42729,0.16881,0.15098,0.09025,2.35264,3.1117,0.01165,0.00693214,0.00231071,0.00693214,0.00231071,0.00693214,0.00231071,0.00693214,0.00231071
105,59849.5,2.25904,2.94998,0.01029,0.42595,0.16832,0.15118,0.09041,2.35306,3.11172,0.01165,0.0066749,0.00222497,0.0066749,0.00222497,0.0066749,0.00222497,0.0066749,0.00222497
106,60310.9,2.26523,2.95938,0.01032,0.42466,0.16847,0.15128,0.09045,2.35246,3.11201,0.01165,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046
107,60769.2,2.26921,2.95653,0.0103,0.42513,0.1682,0.15144,0.09052,2.35168,3.1114,0.01165,0.0061717,0.00205723,0.0061717,0.00205723,0.0061717,0.00205723,0.0061717,0.00205723
108,61227.7,2.25927,2.92294,0.01015,0.42502,0.16796,0.15131,0.09062,2.35088,3.11101,0.01165,0.00592596,0.00197532,0.00592596,0.00197532,0.00592596,0.00197532,0.00592596,0.00197532
109,61686.4,2.25844,2.9344,0.01025,0.42373,0.16783,0.15154,0.09079,2.35022,3.11038,0.01164,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475
110,62143,2.2601,2.95863,0.01031,0.42414,0.1675,0.15157,0.0908,2.34815,3.11125,0.01162,0.0054467,0.00181557,0.0054467,0.00181557,0.0054467,0.00181557,0.0054467,0.00181557
